step,epoch,loss,eval_loss,learning_rate,seconds
5,0.0116,3.5406963348388674,,1.25e-05,23.0
10,0.0232,3.568690872192383,,2.8125000000000003e-05,38.5
15,0.0348,3.307587814331055,,4.375e-05,54.8
20,0.0464,3.096430206298828,,5.9375e-05,70.9
25,0.0581,2.9898611068725587,,7.500000000000001e-05,87.8
30,0.0697,2.910348129272461,,9.062500000000001e-05,104.4
35,0.0813,2.721548652648926,,0.00010625000000000001,120.3
40,0.0929,2.6144208908081055,,0.00012187500000000001,138.4
45,0.1045,2.462210273742676,,0.0001375,154.2
50,0.1161,2.3174673080444337,,0.000153125,170.4
55,0.1277,2.2184629440307617,,0.00016875,186.4
60,0.1393,2.1822938919067383,,0.000184375,202.6
65,0.1509,2.0527597427368165,,0.0002,219.8
70,0.1626,2.1258291244506835,,0.0001999918322943046,235.7
75,0.1742,1.9724681854248047,,0.00019996733051144672,252.7
80,0.1858,1.9987308502197265,,0.00019992649865389336,269.0
85,0.1974,2.099338912963867,,0.0001998693433916965,285.4
90,0.209,1.858253288269043,,0.00019979587406140326,302.1
95,0.2206,1.7606571197509766,,0.00019970610266453105,319.0
100,0.2322,1.743471336364746,,0.00019960004386560684,335.2
105,0.2438,1.7116424560546875,,0.00019947771498977178,351.9
110,0.2554,1.792428207397461,,0.00019933913601995093,368.5
115,0.2671,1.755744171142578,,0.00019918432959358917,386.5
120,0.2787,1.88873233795166,,0.00019901332099895306,403.9
125,0.2903,1.5692681312561034,,0.0001988261381710001,421.1
130,0.3019,1.6221124649047851,,0.00019862281168681522,437.0
135,0.3135,1.6115419387817382,,0.00019840337476061614,453.9
140,0.3251,1.6036365509033204,,0.0001981678632383275,470.1
143,0.3321,,1.3662103414535522,,499.0
145,0.3367,1.574245548248291,,0.00019791631559172525,510.6
150,0.3483,1.4756779670715332,,0.0001976487729121524,526.5
155,0.3599,1.5867104530334473,,0.00019736527890380624,544.3
160,0.3716,1.5084295272827148,,0.00019706587987659938,560.1
165,0.3832,1.4042745590209962,,0.00019675062473859453,576.3
170,0.3948,1.6208440780639648,,0.00019641956498801547,592.5
175,0.4064,1.2792620658874512,,0.0001960727547048344,609.6
180,0.418,1.4633306503295898,,0.0001957102505419378,627.5
185,0.4296,1.471038818359375,,0.000195332111715872,643.7
190,0.4412,1.3048647880554198,,0.00019493839999716985,661.8
195,0.4528,1.1939631462097169,,0.00019452917970026035,677.6
200,0.4644,1.4248634338378907,,0.00019410451767296242,693.4
205,0.4761,1.303840446472168,,0.0001936644832855653,709.3
210,0.4877,1.2289258003234864,,0.00019320914841949638,726.5
215,0.4993,1.345236873626709,,0.00019273858745557927,742.9
220,0.5109,1.2687559127807617,,0.00019225287726188327,759.4
225,0.5225,1.2645631790161134,,0.00019175209718116668,775.6
230,0.5341,1.2917729377746583,,0.00019123632901791587,792.0
235,0.5457,1.3103960037231446,,0.00019070565702498205,807.8
240,0.5573,1.1765929222106934,,0.0001901601678898185,824.0
245,0.5689,1.2821795463562011,,0.00018959995072031954,840.3
250,0.5806,1.2743922233581544,,0.00018902509703026444,857.6
255,0.5922,1.2418081283569335,,0.00018843570072436835,874.3
260,0.6038,1.3627350807189942,,0.0001878318580829426,890.4
265,0.6154,1.2742779731750489,,0.0001872136677461668,907.2
270,0.627,1.0858325958251953,,0.00018658123069797565,923.0
275,0.6386,1.1292553901672364,,0.00018593465024956278,939.7
280,0.6502,0.9961092948913575,,0.00018527403202250436,955.6
285,0.6618,1.1287652015686036,,0.0001845994839315056,971.6
286,0.6642,,1.1031982898712158,,993.7
290,0.6734,1.3728775024414062,,0.00018391111616677207,1008.2
295,0.6851,1.0747320175170898,,0.00018320904117601007,1024.4
300,0.6967,1.1231861114501953,,0.00018249337364605763,1040.6
305,0.7083,1.2417192459106445,,0.00018176423048414994,1057.9
310,0.7199,1.125175952911377,,0.00018102173079882216,1074.8
315,0.7315,1.096872043609619,,0.00018026599588045244,1091.2
320,0.7431,1.075395107269287,,0.0001794971491814487,1108.0
325,0.7547,1.0750040054321288,,0.00017871531629608223,1124.4
330,0.7663,1.205070400238037,,0.00017792062493997117,1140.5
335,0.7779,1.0378029823303223,,0.0001771132049292179,1155.8
340,0.7896,1.062155818939209,,0.00017629318815920282,1172.7
345,0.8012,1.053200626373291,,0.00017546070858303874,1188.8
