temps,temp_c,dispo_mo,swap_mo,mhz
1790017726,57,5346,1372,2339
1790017731,53,5345,1372,1056
1790017736,53,5365,1372,1416
1790017741,53,5333,1366,2296
1790017746,53,5344,1365,1356
1790017751,53,5347,1365,453
1790017756,52,5362,1365,455
1790017761,54,5362,1365,1179
1790017766,52,5361,1365,400
1790017771,53,5352,1365,540
1790017776,53,5372,1365,814
1790017781,53,5373,1365,1754
1790017786,53,5369,1365,1216
1790017791,53,5362,1365,1323
1790017796,53,5353,1365,509
1790017801,52,5329,1340,400
1790017806,53,5381,1338,1664
1790017811,53,5399,1338,558
1790017816,53,5400,1338,473
1790017821,50,5398,1338,400
1790017826,52,5394,1338,399
1790017831,51,5388,1338,410
1790017836,51,5383,1338,400
1790017841,50,5380,1338,561
1790017846,52,5373,1338,400
1790017851,52,5368,1338,533
1790017856,52,5354,1338,1255
1790017861,50,5349,1338,400
1790017866,50,5392,1333,1184
1790017871,50,5394,1333,421
1790017876,50,5392,1332,591
1790017881,49,5384,1332,653
1790017886,50,5385,1332,400
1790017891,50,5375,1332,400
1790017896,55,5397,1332,1445
1790017901,50,5401,1332,1278
1790017906,49,5414,1332,489
1790017911,50,5425,1332,476
1790017916,49,5431,1332,984
1790017921,50,5421,1332,414
1790017926,50,5429,1332,1376
1790017931,52,5391,1331,961
1790017936,53,5397,1331,1468
1790017942,52,5406,1331,990
1790017947,53,5403,1331,2601
1790017952,52,5408,1331,1162
1790017957,52,5404,1331,2106
1790017962,52,5402,1331,544
1790017967,52,5396,1331,2305
1790017972,51,5401,1331,585
1790017977,52,5405,1331,462
1790017982,52,5405,1331,1116
1790017987,54,5406,1331,1849
1790017992,52,5406,1331,1388
1790017997,54,5408,1331,922
1790018002,52,5403,1331,1292
1790018007,52,5410,1331,1126
1790018012,52,5409,1331,624
1790018017,52,5413,1331,1334
1790018022,50,5403,1331,932
1790018027,52,5406,1331,452
1790018032,50,5409,1331,1052
1790018037,52,5406,1331,669
1790018042,50,5403,1331,870
1790018047,52,5395,1331,1556
1790018052,52,5389,1331,1492
1790018057,52,5393,1331,1482
1790018062,52,5394,1331,528
1790018067,50,5399,1331,1399
1790018072,52,5393,1331,878
1790018077,51,5401,1331,1290
1790018082,52,5395,1331,1359
1790018087,52,5401,1331,831
1790018092,52,5400,1331,1763
1790018097,53,5395,1331,1450
1790018102,52,5392,1331,2707
1790018107,52,5395,1331,1982
1790018112,52,5389,1331,425
1790018117,52,5399,1331,1254
1790018122,52,5402,1331,487
1790018127,52,5402,1331,650
1790018132,52,5393,1331,508
1790018137,52,5402,1330,400
1790018142,50,5399,1330,683
1790018147,52,5410,1330,421
1790018152,52,5404,1330,1425
1790018157,53,5407,1330,2912
1790018162,52,5405,1330,2242
1790018167,50,5408,1330,588
1790018172,52,5407,1330,1398
1790018177,52,5405,1330,518
1790018182,51,5406,1330,1543
1790018187,52,5397,1330,634
1790018192,51,5402,1330,924
1790018198,50,5410,1330,475
1790018203,50,5415,1330,1890
1790018208,52,5399,1330,1343
1790018213,50,5389,1330,936
1790018218,50,5391,1330,707
1790018223,49,5394,1330,1504
1790018228,49,5398,1330,1626
1790018233,50,5397,1330,782
1790018238,49,5397,1330,400
1790018243,49,5399,1330,1980
1790018248,49,5406,1330,1375
1790018253,50,5419,1330,1565
1790018258,49,5424,1330,3013
1790018263,49,5424,1330,2437
1790018268,49,5425,1330,516
1790018273,49,5425,1330,1376
1790018278,50,5425,1330,1206
1790018283,49,5425,1330,1968
1790018288,49,5424,1330,462
1790018293,49,5423,1330,594
1790018298,49,5422,1330,400
1790018303,50,5426,1330,1385
1790018308,54,5426,1330,2726
1790018313,52,5424,1330,2013
1790018318,51,5424,1330,1171
1790018323,52,5422,1330,1290
1790018328,53,5424,1330,1602
1790018333,54,5424,1330,1188
1790018338,54,5420,1330,968
1790018343,53,5420,1330,535
1790018348,54,5421,1330,453
1790018353,55,5421,1330,1462
1790018358,54,5419,1330,850
1790018363,54,5419,1330,1256
1790018368,55,5419,1330,484
1790018373,57,5421,1330,2494
1790018378,54,5415,1330,1200
1790018383,56,5420,1330,837
1790018388,56,5419,1330,1313
1790018393,56,5418,1330,431
1790018398,57,5420,1330,1187
1790018403,57,5418,1330,1845
1790018408,56,5420,1330,400
1790018413,56,5418,1330,1484
1790018418,57,5417,1330,457
1790018423,56,5420,1330,1049
1790018428,56,5419,1330,530
1790018433,57,5421,1330,400
1790018439,56,5421,1327,2503
1790018444,57,5419,1327,1274
1790018449,57,5417,1327,1063
1790018454,58,5421,1327,646
1790018459,57,5423,1327,1482
1790018464,57,5423,1327,1050
1790018469,57,5421,1327,1171
1790018474,57,5420,1327,1140
1790018479,59,5422,1327,885
1790018484,58,5418,1327,1284
1790018489,59,5418,1327,1107
1790018494,59,5420,1327,844
1790018499,57,5420,1327,847
1790018504,58,5421,1327,1275
1790018509,58,5423,1327,1232
1790018514,58,5415,1327,2604
1790018519,59,5414,1327,452
1790018524,59,5417,1327,1127
1790018529,59,5407,1327,2492
1790018534,58,5418,1327,400
1790018539,57,5422,1327,438
1790018544,58,5407,1327,479
1790018549,58,5419,1327,746
1790018554,60,5409,1327,868
1790018559,59,5386,1317,2047
1790018564,56,5373,1315,400
1790018569,57,5392,1315,504
1790018574,56,5396,1315,400
1790018579,56,5396,1315,628
1790018584,55,5395,1315,400
1790018589,57,5387,1315,2292
1790018594,55,5394,1315,472
1790018599,55,5397,1315,454
1790018604,54,5396,1315,399
1790018609,54,5399,1315,488
1790018614,54,5401,1315,730
1790018619,56,5400,1315,1439
1790018625,53,5404,1315,400
1790018630,53,5405,1315,400
1790018635,55,5404,1315,528
1790018640,53,5403,1315,478
1790018645,53,5416,1309,829
1790018650,52,5411,1309,400
1790018655,52,5415,1309,432
1790018660,52,5420,1309,562
1790018665,52,5418,1309,447
1790018670,52,5417,1309,662
1790018675,52,5418,1309,400
1790018680,52,5416,1309,648
1790018685,52,5416,1309,590
1790018690,52,5415,1309,436
1790018695,52,5416,1309,761
1790018700,52,5416,1309,476
1790018705,52,5418,1309,400
1790018710,52,5406,1309,452
1790018715,52,5408,1309,400
1790018720,52,5418,1309,807
1790018725,52,5418,1309,400
1790018730,52,5417,1309,400
1790018735,50,5419,1309,405
1790018740,50,5420,1309,616
1790018746,50,5419,1309,404
1790018751,50,5420,1309,621
1790018756,50,5420,1309,708
1790018761,50,5418,1309,400
1790018766,51,5419,1309,646
1790018771,50,5408,1309,566
1790018776,50,5412,1309,656
1790018781,50,5416,1309,564
1790018786,50,5417,1309,709
1790018791,51,5417,1309,403
1790018796,50,5417,1309,399
1790018801,50,5421,1309,459
1790018806,50,5419,1309,478
1790018811,51,5418,1309,400
1790018816,52,5418,1309,446
1790018821,50,5417,1309,608
1790018826,50,5416,1309,468
1790018831,51,5409,1309,428
1790018836,51,5408,1309,446
1790018841,51,5409,1309,400
1790018846,50,5415,1309,655
1790018851,50,5415,1309,853
1790018856,50,5415,1309,500
1790018861,51,5414,1309,404
