temps,temp_c,dispo_mo,swap_mo,mhz
1789994707,52,5251,1006,2314
1789994712,52,5253,1006,1783
1789994717,52,5250,1006,432
1789994722,53,5256,1006,1685
1789994727,53,5234,1006,1407
1789994732,53,5246,1006,1603
1789994737,53,5247,1006,451
1789994742,53,5240,1006,420
1789994747,53,5231,1006,633
1789994752,54,5228,1006,400
1789994757,54,5220,1006,418
1789994762,54,5208,1006,972
1789994767,55,5212,1006,1245
1789994772,54,5211,1006,1663
1789994777,54,5208,1006,504
1789994782,57,5198,1006,1278
1789994787,55,5186,1006,537
1789994792,56,5180,1006,482
1789994797,54,5237,1006,1224
1789994802,57,5239,1006,1211
1789994807,56,5238,1006,564
1789994812,57,5235,1006,1507
1789994817,57,5229,1006,1132
1789994822,57,5225,1006,764
1789994827,56,5218,1006,476
1789994832,56,5217,1006,1372
1789994837,56,5210,1006,614
1789994842,57,5207,1006,581
1789994847,57,5201,1006,1526
1789994852,56,5199,1006,1314
1789994857,57,5194,1006,786
1789994862,57,5192,1006,477
1789994867,57,5183,1006,431
1789994872,58,5259,1006,1304
1789994877,58,5224,1006,654
1789994882,58,5235,1006,1688
1789994887,59,5245,1006,558
1789994892,58,5240,1006,400
1789994897,59,5237,1006,1072
1789994902,59,5237,1006,2078
1789994907,59,5240,1006,1412
1789994912,59,5240,1006,590
1789994917,59,5234,1006,1210
1789994922,60,5235,1006,1279
1789994928,60,5237,1006,710
1789994933,60,5237,1006,1944
1789994938,61,5239,1006,400
1789994943,59,5250,1006,1164
1789994948,59,5252,1006,412
1789994953,61,5246,1006,1194
1789994958,61,5250,1006,858
1789994963,61,5234,1006,2471
1789994968,61,5240,1006,1490
1789994973,62,5237,1006,1277
1789994978,61,5246,1006,732
1789994983,61,5245,1006,400
1789994988,61,5228,1006,1332
1789994993,62,5232,1006,430
1789994998,62,5234,1006,1352
1789995003,62,5231,1006,400
1789995008,63,5229,1006,400
1789995013,62,5234,1006,400
1789995018,62,5229,1006,822
1789995023,62,5235,1006,400
1789995028,64,5229,1006,400
1789995033,62,5255,1006,1388
1789995038,60,5258,1006,502
1789995043,60,5260,1006,1416
1789995048,61,5261,1006,1189
1789995053,61,5262,1006,1904
1789995058,61,5264,1006,1592
1789995063,60,5261,1006,400
1789995068,60,5258,1006,880
1789995073,60,5259,1006,1107
1789995078,61,5269,1006,1800
1789995083,59,5265,1006,434
1789995088,60,5270,1006,994
1789995093,61,5255,1006,508
1789995098,58,5263,1006,864
1789995103,58,5268,1006,720
1789995108,57,5272,1006,1160
1789995113,57,5273,1006,802
1789995118,57,5268,1006,729
1789995123,56,5265,1006,735
1789995129,56,5266,1006,884
1789995134,56,5250,1006,946
1789995139,56,5240,1006,404
1789995144,56,5249,1006,602
1789995149,55,5269,1006,400
1789995154,55,5276,1006,530
1789995159,54,5279,1006,400
1789995164,54,5279,1006,525
1789995169,54,5279,1006,420
1789995174,55,5276,1006,680
1789995179,55,5279,1006,470
1789995184,53,5277,1006,436
1789995189,53,5277,1006,400
1789995194,53,5281,1006,400
1789995199,53,5280,1006,1137
1789995204,53,5280,1005,572
1789995209,53,5280,1005,400
1789995214,52,5280,1005,658
1789995219,52,5279,1005,522
1789995224,52,5279,1005,736
1789995229,52,5278,1005,454
1789995234,52,5282,1005,506
1789995239,54,5283,1005,1518
1789995244,52,5283,1005,722
1789995249,52,5282,1005,444
1789995255,52,5282,1005,1219
1789995260,52,5240,1005,890
1789995265,53,5252,1005,400
1789995270,56,5254,1005,3219
1789995275,59,5263,1005,414
1789995280,52,5273,1005,400
1789995285,52,5282,1005,457
1789995290,52,5260,1005,571
1789995295,61,5239,1004,1740
1789995300,53,5209,1003,2930
1789995305,53,5232,1003,400
1789995310,53,5240,1003,431
1789995315,53,5247,1003,499
1789995320,53,5240,1003,727
1789995325,54,5244,1003,1143
1789995330,56,5243,1003,3022
1789995335,53,5246,1003,400
1789995340,53,5245,1003,754
1789995345,54,5233,1003,711
1789995350,54,5238,1003,548
1789995355,54,5210,1003,748
1789995360,54,5194,1003,434
1789995365,55,5234,1003,982
1789995370,54,5237,1003,608
1789995375,54,5242,1003,492
1789995380,56,5239,1003,1170
1789995385,56,5240,1003,400
1789995390,56,5241,1003,633
1789995395,57,5227,1003,592
1789995400,56,5241,1003,400
1789995406,59,5208,1003,740
1789995411,57,5235,1003,1823
1789995416,58,5237,1003,466
1789995421,60,5064,1003,2287
1789995426,58,5153,1003,1737
1789995431,59,5216,1003,1666
1789995436,59,5225,1003,1180
1789995441,59,5200,1003,1425
1789995446,67,5207,1003,675
1789995451,60,5194,1003,448
1789995456,62,5173,1003,3504
1789995461,61,5161,1003,400
1789995466,60,5179,1003,1714
1789995471,60,5177,1003,836
1789995476,61,5179,1003,1220
1789995481,63,5164,1002,2382
1789995486,62,5138,1002,882
1789995491,62,5139,1002,508
1789995496,62,5141,1002,788
1789995501,61,5149,1002,400
1789995506,59,5151,1002,885
1789995511,60,5124,1002,1445
1789995516,62,5097,1002,2494
1789995521,57,5120,1002,2350
1789995526,56,5154,1002,699
1789995531,54,5170,1002,1200
1789995536,55,5154,1002,1015
1789995541,56,5151,1002,425
1789995546,57,5151,1002,2575
1789995551,54,5173,1002,400
1789995556,54,5205,1002,2395
1789995561,53,5212,1002,400
1789995566,53,5205,1002,400
1789995571,53,5190,1002,420
1789995576,57,5195,1002,3038
1789995581,54,5206,1002,723
1789995586,52,5206,1002,474
1789995591,51,5179,1002,1212
1789995596,52,5207,1002,421
1789995601,52,5209,1002,420
1789995606,50,5188,1002,443
1789995611,50,5185,1002,606
1789995617,51,5191,1002,447
1789995622,50,5193,1002,748
1789995627,50,5196,1002,725
1789995632,50,5196,1002,453
1789995637,50,5209,1002,776
1789995642,49,5200,1002,1240
1789995647,50,5211,1001,472
1789995652,52,5213,1001,1342
1789995657,52,5089,1001,481
1789995662,53,5170,1001,1869
1789995667,52,5191,1001,2995
1789995672,50,5200,1001,494
1789995677,53,5205,1001,538
1789995682,52,5210,1001,1480
1789995687,52,5207,1001,971
1789995692,57,5208,1001,400
1789995697,54,5207,1001,2239
1789995702,57,5174,1001,4122
1789995707,78,3623,1001,4088
1789995712,57,3376,1001,563
1789995717,56,3711,1001,483
1789995722,57,3764,1001,400
1789995727,56,3716,1001,519
1789995732,56,3722,1001,400
1789995737,77,3739,1001,2350
1789995742,56,3761,1001,920
1789995747,57,3752,1001,3201
1789995752,67,3710,1001,1828
1789995757,58,3437,1001,526
1789995762,59,3405,999,490
1789995767,57,3444,999,400
1789995772,57,3456,999,2830
1789995777,56,3473,999,1240
1789995782,57,3398,999,1310
1789995787,57,3374,999,400
1789995792,57,3399,999,1675
1789995797,58,3459,999,3017
1789995802,59,3454,999,1298
1789995807,57,3461,999,1706
1789995812,56,3480,999,970
1789995818,57,3453,999,1416
1789995823,57,3465,997,1066
1789995828,60,3372,997,654
1789995833,57,3404,997,3237
1789995838,56,3423,997,486
1789995843,55,3429,997,420
