temps,temp_c,dispo_mo,swap_mo,mhz
1789834161,58,5306,1000,847
1789834166,57,5334,984,1393
1789834171,58,5330,984,400
1789834176,57,5328,984,2331
1789834181,58,5269,984,1492
1789834186,57,5303,984,1022
1789834191,58,5314,984,400
1789834196,57,5313,984,739
1789834201,57,5331,984,2101
1789834206,56,5363,984,986
1789834211,57,5341,984,1166
1789834216,57,5364,984,970
1789834221,57,5360,984,1770
1789834226,58,5348,984,1295
1789834231,57,5362,980,2079
1789834236,57,5368,979,406
1789834241,56,5374,979,748
1789834246,59,4919,979,900
1789834251,61,4906,979,775
1789834256,60,4930,979,783
1789834261,84,4931,979,2887
1789834266,61,4940,979,823
1789834272,61,4940,979,668
1789834277,62,4931,979,720
1789834282,62,4936,979,754
1789834287,68,4938,979,2438
1789834292,64,4941,979,918
1789834297,64,4931,979,848
1789834302,64,4918,979,1124
1789834307,63,4917,979,900
1789834312,61,4915,979,818
1789834317,59,4915,979,888
1789834322,59,4911,979,774
1789834327,58,4895,979,759
1789834333,57,4907,979,895
1789834338,57,4907,979,899
1789834343,57,4894,979,899
1789834348,56,4902,979,899
1789834353,55,4900,979,891
1789834358,54,4899,979,900
1789834363,56,4902,979,591
1789834368,54,4896,979,900
1789834373,56,4896,979,794
1789834378,55,4882,979,846
1789834383,54,4888,979,796
1789834388,53,4890,979,774
1789834394,53,4879,979,900
1789834399,54,4879,979,751
1789834404,57,4874,979,1033
1789834409,53,4880,979,683
1789834414,53,4876,979,900
1789834419,54,4874,979,900
1789834424,50,5365,979,420
1789834429,50,5365,979,410
1789834434,49,5364,979,775
1789834439,48,5367,979,711
1789834444,49,5368,979,484
1789834449,47,5367,979,681
1789834454,47,5360,979,550
1789834459,47,5374,979,400
1789834464,47,5380,979,461
1789834469,47,5376,979,456
1789834474,46,5378,979,1056
1789834479,47,5383,979,448
1789834484,47,5360,979,641
1789834490,47,5338,979,728
1789834495,47,5363,979,744
1789834500,48,5373,979,676
1789834505,49,5376,979,725
1789834510,90,5189,978,3614
1789834515,93,5226,978,4120
1789834520,96,5232,978,4222
1789834525,95,5248,978,4060
1789834530,96,5253,978,3893
1789834535,97,5253,978,3792
1789834540,96,5255,978,2682
1789834545,96,5256,978,3814
1789834550,97,5254,978,3838
1789834555,97,5255,978,3884
1789834560,97,5259,978,3722
1789834565,91,5254,978,4150
1789834570,96,5251,978,3984
1789834575,96,5256,978,3849
1789834580,97,5257,978,3777
1789834585,96,5257,978,3921
1789834590,97,5256,978,3886
