step,epoch,loss,eval_loss,learning_rate,seconds
5,0.0123,0.6925242900848388,,5.000000000000001e-07,542.3
10,0.0246,0.6921262741088867,,1.125e-06,559.6
15,0.0369,0.7084638595581054,,1.75e-06,577.0
20,0.0492,0.6910105228424073,,2.375e-06,594.5
25,0.0616,0.6922694206237793,,3e-06,612.0
30,0.0739,0.6763561248779297,,3.625e-06,629.0
35,0.0862,0.6690392017364502,,4.25e-06,646.4
40,0.0985,0.6810403823852539,,4.875e-06,663.2
45,0.1108,0.6678865909576416,,4.998534603397123e-06,680.4
50,0.1231,0.6612616062164307,,4.992584373844853e-06,697.6
55,0.1354,0.6486027717590332,,4.9820686143747045e-06,715.0
60,0.1477,0.6322606563568115,,4.967006586125827e-06,732.3
65,0.16,0.6283871173858643,,4.947425877388237e-06,749.6
70,0.1724,0.6207598686218262,,4.923362353070859e-06,767.0
75,0.1847,0.6414214134216308,,4.894860089009742e-06,784.1
80,0.197,0.6203279018402099,,4.861971291236772e-06,801.1
85,0.2093,0.5923230648040771,,4.8247562003567486e-06,818.7
90,0.2216,0.5939424991607666,,4.783282981207979e-06,836.1
95,0.2339,0.581072998046875,,4.737627598008486e-06,853.2
100,0.2462,0.5583498001098632,,4.687873675216522e-06,870.8
105,0.2585,0.5785376071929932,,4.634112344360237e-06,888.1
110,0.2709,0.5598723888397217,,4.5764420771170735e-06,905.3
115,0.2832,0.5681668758392334,,4.514968504948588e-06,922.1
120,0.2955,0.5674305438995362,,4.449804225621116e-06,939.3
125,0.3078,0.550361442565918,,4.381068596966621e-06,956.9
130,0.3201,0.582209300994873,,4.308887518261507e-06,973.8
135,0.3324,0.5320680618286133,,4.233393199623832e-06,992.2
140,0.3447,0.5433323383331299,,4.154723919851291e-06,1009.5
145,0.357,0.5330808639526368,,4.0730237731435394e-06,1027.0
150,0.3693,0.5510297298431397,,3.988442405172755e-06,1044.0
155,0.3817,0.5335911273956299,,3.901134738985886e-06,1061.8
160,0.394,0.4892442226409912,,3.811260691240604e-06,1079.5
165,0.4063,0.5159918785095214,,3.718984879294754e-06,1096.3
170,0.4186,0.5275113105773925,,3.6244763196857714e-06,1113.8
175,0.4309,0.534973430633545,,3.5279081185523766e-06,1130.9
180,0.4432,0.5323711395263672,,3.4294571545655653e-06,1148.1
185,0.4555,0.5376568794250488,,3.3293037549496598e-06,1165.1
190,0.4678,0.533552885055542,,3.2276313651868364e-06,1182.6
195,0.4801,0.5084771633148193,,3.1246262130101083e-06,1199.5
200,0.4925,0.5136876583099366,,3.0204769673002123e-06,1216.3
205,0.5048,0.5464566230773926,,2.9153743925111843e-06,1233.0
210,0.5171,0.5252659320831299,,2.8095109992575824e-06,1250.0
215,0.5294,0.5328846454620362,,2.703080691703365e-06,1267.5
220,0.5417,0.5213498115539551,,2.5962784123982843e-06,1284.9
225,0.554,0.5016690254211426,,2.48929978521232e-06,1301.9
230,0.5663,0.5175386428833008,,2.3823407570221812e-06,1319.0
235,0.5786,0.43927726745605467,,2.2755972388061757e-06,1336.7
240,0.591,0.5385342597961426,,2.1692647468048235e-06,1353.3
245,0.6033,0.4754976749420166,,2.0635380444045e-06,1370.7
250,0.6156,0.4765657424926758,,1.9586107854000327e-06,1387.8
255,0.6279,0.511561107635498,,1.8546751592896855e-06,1405.3
260,0.6402,0.4639625072479248,,1.7519215392522026e-06,1422.7
265,0.6525,0.5002353668212891,,1.6505381334507175e-06,1439.9
270,0.6648,0.5132752418518066,,1.5507106403021897e-06,1456.9
275,0.6771,0.45616865158081055,,1.4526219083438153e-06,1474.3
280,0.6894,0.4586959362030029,,1.3564516013194023e-06,1491.5
285,0.7018,0.47426209449768064,,1.2623758690991569e-06,1508.6
290,0.7141,0.4973635673522949,,1.1705670250356417e-06,1525.7
295,0.7264,0.49652676582336425,,1.081193230346865e-06,1543.2
300,0.7387,0.45891661643981935,,9.944181861046188e-07,1560.1
305,0.751,0.4935174465179443,,9.104008333922077e-07,1576.8
310,0.7633,0.47823238372802734,,8.292950621808022e-07,1594.5
315,0.7756,0.5019251823425293,,7.51249429457627e-07,1611.4
320,0.7879,0.44895229339599607,,6.764068871222825e-07,1628.8
325,0.8002,0.4441816806793213,,6.049045201496042e-07,1646.0
330,0.8126,0.49180331230163576,,5.368732954986389e-07,1663.0
335,0.8249,0.4674800395965576,,4.724378222276613e-07,1680.0
340,0.8372,0.4502241134643555,,4.117161232546021e-07,1697.5
345,0.8495,0.5078730106353759,,3.54819419180954e-07,1714.4
350,0.8618,0.4599830150604248,,3.018519245750989e-07,1731.5
355,0.8741,0.4547630786895752,,2.5291065708820753e-07,1748.9
360,0.8864,0.48418350219726564,,2.0808525975233807e-07,1766.9
365,0.8987,0.4864048957824707,,1.6745783678621368e-07,1784.1
370,0.911,0.5108798027038575,,1.3110280320943692e-07,1801.6
375,0.9234,0.5191093921661377,,9.90867485405822e-08,1818.9
380,0.9357,0.5000535011291504,,7.146831482883115e-08,1836.2
385,0.948,0.5074828147888184,,4.8298089242554415e-08,1853.3
390,0.9603,0.4539358139038086,,2.9618511411570462e-08,1870.6
395,0.9726,0.5140645980834961,,1.5463795692808037e-08,1887.6
400,0.9849,0.4694319248199463,,5.85986850174608e-09,1904.9
405,0.9972,0.4738742828369141,,8.243208244229639e-10,1922.0
407,1.0,,,,1925.8
