step,epoch,loss,eval_loss,learning_rate,seconds
5,0.0098,3.530145263671875,,1.0526315789473684e-05,36.1
10,0.0196,3.434306335449219,,2.368421052631579e-05,55.1
15,0.0295,3.292103958129883,,3.6842105263157895e-05,73.6
20,0.0393,3.123663902282715,,5e-05,93.2
25,0.0491,2.9526559829711916,,6.31578947368421e-05,112.1
30,0.0589,2.767753791809082,,7.631578947368422e-05,130.8
35,0.0687,2.738705635070801,,8.947368421052632e-05,150.6
40,0.0786,2.687904167175293,,0.00010263157894736844,169.5
45,0.0884,2.530661392211914,,0.00011578947368421053,188.9
50,0.0982,2.3156166076660156,,0.00012894736842105264,208.2
55,0.108,2.174749755859375,,0.00014210526315789474,227.6
60,0.1178,2.1474609375,,0.00015526315789473686,247.7
65,0.1277,2.0140575408935546,,0.00016842105263157895,267.3
70,0.1375,1.988521194458008,,0.00018157894736842107,286.7
75,0.1473,1.8897085189819336,,0.00019473684210526317,306.7
80,0.1571,1.9918498992919922,,0.00019999789921346323,325.5
85,0.167,1.8077425003051757,,0.0001999850613931615,344.5
90,0.1768,1.6254907608032227,,0.00019996055435267079,363.8
95,0.1866,1.6910995483398437,,0.00019992438095219886,382.8
100,0.1964,1.7709699630737306,,0.0001998765454135301,401.5
105,0.2062,1.6864389419555663,,0.00019981705331953293,420.7
110,0.2161,1.8266185760498046,,0.00019974591161350794,440.7
115,0.2259,1.798674964904785,,0.00019966312859837787,460.5
120,0.2357,1.6485208511352538,,0.00019956871393571833,479.5
125,0.2455,1.4853972434997558,,0.00019946267864463026,498.4
130,0.2553,1.4889403343200684,,0.00019934503510045395,517.3
135,0.2652,1.5887667655944824,,0.00019921579703332474,535.8
140,0.275,1.679863739013672,,0.00019907497952657046,555.2
145,0.2848,1.4755634307861327,,0.0001989225990149512,574.8
150,0.2946,1.5569140434265136,,0.00019875867328274108,594.5
155,0.3044,1.3836186408996582,,0.0001985832214616527,613.6
160,0.3143,1.4356224060058593,,0.00019839626402860447,633.1
165,0.3241,1.561917209625244,,0.00019819782280333038,652.2
169,0.3319,,1.3364039659500122,,687.4
170,0.3339,1.4896966934204101,,0.00019798792094583378,693.2
175,0.3437,1.3713691711425782,,0.0001977665829536842,712.5
180,0.3535,1.5910840034484863,,0.00019753383465915826,732.2
185,0.3634,1.3566824913024902,,0.00019728970322622485,751.7
190,0.3732,1.2094345092773438,,0.00019703421714737483,770.7
195,0.383,1.435074234008789,,0.00019676740624029567,790.4
200,0.3928,1.2785234451293945,,0.00019648930164439135,809.5
205,0.4027,1.2710904121398925,,0.00019619993581714823,829.5
210,0.4125,1.2562235832214355,,0.00019589934253034686,848.5
215,0.4223,1.3367527961730956,,0.00019558755686612057,867.4
220,0.4321,1.3191338539123536,,0.00019526461521286094,884.5
225,0.4419,1.17187442779541,,0.000194930555260971,902.1
230,0.4518,1.3499716758728026,,0.00019458541599846635,919.1
235,0.4616,1.1886005401611328,,0.00019422923770642494,936.6
240,0.4714,1.4051011085510254,,0.0001938620619542858,954.4
245,0.4812,1.167066478729248,,0.00019348393159499759,971.1
250,0.491,1.0299850463867188,,0.00019309489076001714,988.4
255,0.5009,1.2149802207946778,,0.00019269498485415895,1005.8
260,0.5107,1.2444896697998047,,0.00019228426055029605,1023.3
265,0.5205,1.242228889465332,,0.00019186276578391265,1040.1
270,0.5303,1.139169406890869,,0.00019143054974750986,1056.3
275,0.5401,1.0820433616638183,,0.00019098766288486426,1072.9
